src	dst
0	12
12	0
0	44
44	0
1	10
10	1
1	27
27	1
2	14
14	2
2	53
53	2
3	11
11	3
3	55
55	3
4	54
54	4
4	56
56	4
5	16
16	5
5	42
42	5
6	19
19	6
6	190
190	6
7	11
11	7
7	38
38	7
7	48
48	7
7	49
49	7
7	197
197	7
8	24
24	8
9	15
15	9
9	24
24	9
9	52
52	9
10	29
29	10
10	51
51	10
11	38
38	11
11	48
48	11
11	49
49	11
12	50
50	12
13	16
16	13
13	21
21	13
13	31
31	13
13	43
43	13
14	49
49	14
14	239
239	14
15	47
47	15
16	43
43	16
17	20
20	17
17	21
21	17
17	26
26	17
17	41
41	17
17	250
250	17
18	54
54	18
18	236
236	18
19	55
55	19
20	21
21	20
20	25
25	20
20	46
46	20
20	250
250	20
21	52
52	21
21	250
250	21
22	28
28	22
22	38
38	22
23	33
33	23
23	52
52	23
24	52
52	24
25	46
46	25
25	47
47	25
27	40
40	27
28	56
56	28
29	51
51	29
30	32
32	30
30	45
45	30
31	137
137	31
31	152
152	31
31	246
246	31
31	256
256	31
32	51
51	32
33	50
50	33
34	36
36	34
34	41
41	34
35	40
40	35
35	48
48	35
37	256
256	37
37	257
257	37
38	48
48	38
38	49
49	38
39	45
45	39
39	47
47	39
42	44
44	42
42	57
57	42
42	188
188	42
42	194
194	42
42	211
211	42
42	257
257	42
43	44
44	43
43	188
188	43
43	194
194	43
43	211
211	43
43	257
257	43
48	49
49	48
53	57
57	53
54	187
187	54
54	207
207	54
54	230
230	54
55	197
197	55
58	63
63	58
58	69
69	58
59	77
77	59
59	111
111	59
60	102
102	60
60	260
260	60
61	93
93	61
61	99
99	61
61	244
244	61
62	78
78	62
62	89
89	62
63	89
89	63
63	123
123	63
64	76
76	64
64	79
79	64
64	96
96	64
65	93
93	65
65	95
95	65
66	106
106	66
67	82
82	67
67	84
84	67
68	69
69	68
68	115
115	68
70	77
77	70
70	81
81	70
70	113
113	70
71	84
84	71
71	108
108	71
72	117
117	72
72	119
119	72
73	82
82	73
73	86
86	73
73	112
112	73
73	122
122	73
74	80
80	74
74	124
124	74
75	116
116	75
76	95
95	76
77	81
81	77
77	92
92	77
78	97
97	78
78	247
247	78
79	96
96	79
81	254
254	81
82	86
86	82
82	112
112	82
83	101
101	83
83	108
108	83
83	112
112	83
85	91
91	85
85	122
122	85
86	87
87	86
86	112
112	86
87	105
105	87
88	117
117	88
90	95
95	90
90	114
114	90
91	142
142	91
91	165
165	91
91	189
189	91
91	209
209	91
91	258
258	91
93	216
216	93
94	100
100	94
94	124
124	94
95	104
104	95
96	100
100	96
97	260
260	97
98	106
106	98
98	108
108	98
99	109
109	99
101	115
115	101
102	107
107	102
103	113
113	103
103	114
114	103
104	185
185	104
105	124
124	105
107	120
120	107
108	112
112	108
108	223
223	108
109	179
179	109
110	116
116	110
110	119
119	110
111	118
118	111
112	223
223	112
113	121
121	113
113	241
241	113
116	123
123	116
116	253
253	116
118	120
120	118
125	184
184	125
125	186
186	125
125	203
203	125
125	220
220	125
125	225
225	125
125	243
243	125
126	154
154	126
126	161
161	126
126	217
217	126
126	227
227	126
127	135
135	127
127	209
209	127
128	143
143	128
129	182
182	129
129	204
204	129
130	141
141	130
