src	dst	distance
0	12	11.000000
0	44	7.000000
1	10	32.000000
1	27	145.000000
2	14	16.000000
2	53	14.000000
3	11	57.000000
3	55	8.000000
4	54	198.000000
4	56	48.000000
5	16	18.000000
5	42	28.000000
6	19	48.000000
6	190	28.000000
7	11	112.000000
7	38	77.000000
7	48	94.000000
7	49	92.000000
7	197	58.000000
8	24	6.000000
9	15	58.000000
9	24	60.000000
9	52	96.000000
10	29	158.000000
10	51	35.000000
11	38	63.000000
11	48	80.000000
11	49	78.000000
12	50	23.000000
13	16	57.000000
13	21	64.000000
13	31	31.000000
13	43	113.000000
14	49	47.000000
14	239	45.000000
15	47	20.000000
16	43	86.000000
17	20	144.000000
17	21	50.000000
17	26	8.000000
17	41	21.000000
17	250	33.000000
18	54	16.000000
18	236	16.000000
19	55	14.000000
20	21	176.000000
20	25	160.000000
20	46	133.000000
20	250	159.000000
21	52	48.000000
21	250	43.000000
22	28	43.000000
22	38	6.000000
23	33	16.000000
23	52	21.000000
24	52	60.000000
25	46	67.000000
25	47	31.000000
27	40	54.000000
28	56	92.000000
29	51	177.000000
30	32	9.000000
30	45	20.000000
31	137	95.000000
31	152	77.000000
31	246	54.000000
31	256	85.000000
32	51	28.000000
33	50	11.000000
34	36	40.000000
34	41	73.000000
35	40	52.000000
35	48	28.000000
37	256	45.000000
37	257	13.000000
38	48	45.000000
38	49	43.000000
39	45	25.000000
39	47	38.000000
42	44	43.000000
42	57	53.000000
42	188	130.000000
42	194	136.000000
42	211	132.000000
42	257	99.000000
43	44	108.000000
43	188	75.000000
43	194	81.000000
43	211	77.000000
43	257	44.000000
48	49	60.000000
53	57	36.000000
54	187	185.000000
54	207	235.000000
54	230	41.000000
55	197	114.000000
58	63	55.000000
58	69	49.000000
59	77	13.000000
59	111	3.000000
60	102	66.000000
60	260	5.000000
61	93	12.000000
61	99	12.000000
61	244	60.000000
62	78	20.000000
62	89	31.000000
63	89	19.000000
63	123	11.000000
64	76	17.000000
64	79	35.000000
64	96	29.000000
65	93	47.000000
65	95	26.000000
66	106	16.000000
67	82	31.000000
67	84	26.000000
68	69	11.000000
68	115	22.000000
70	77	52.000000
70	81	107.000000
70	113	8.000000
71	84	13.000000
71	108	8.000000
72	117	25.000000
72	119	12.000000
73	82	36.000000
73	86	33.000000
73	112	67.000000
73	122	45.000000
74	80	38.000000
74	124	77.000000
75	116	73.000000
76	95	18.000000
77	81	133.000000
77	92	62.000000
78	97	82.000000
78	247	41.000000
79	96	48.000000
81	254	7.000000
82	86	21.000000
